APC,EW,,,,
APC,OWS,,,,
BDDA,ARCDL,,,,
I.A,ARCDL,,,,
IHIA,ARCDL,,,,
PRGW,ARCDL,,,,
ARCDL,SCL,,,,
XMLW,ARCDL,,,,
BDDA,I.A,,,,
BDDA,IHIA,,,,
BDDA,PRGW,,,,
BDDA,SCL,,,,
BDDA,XMLW,,,,
MC,EW,,,,
OWS,EW,,,,
WS,EW,,,,
IHIA,I.A,,,,
I.A,PRGW,,,,
I.A,SCL,,,,
I.A,XMLW,,,,
IHIA,PRGW,,,,
IHIA,SCL,,,,
IHIA,XMLW,,,,
MC,TAM,,,,
MC,VA,,,,
TAM,MMTS,,,,
VA,MMTS,,,,
WS,OWS,,,,
PRGW,SCL,,,,
XMLW,PRGW,,,,
XMLW,SCL,,,,
VA,TAM,,,,
TRXO,TINT,,,,
WS,VA,,,,
APC,OWS,EW,,,
APC,TAM,EW,,,
APC,OWS,TAM,,,
APC,WS,OWS,,,
BDDA,I.A,ARCDL,,,
BDDA,IHIA,ARCDL,,,
BDDA,PRGW,ARCDL,,,
BDDA,ARCDL,SCL,,,
BDDA,XMLW,ARCDL,,,
IHIA,I.A,ARCDL,,,
I.A,PRGW,ARCDL,,,
I.A,ARCDL,SCL,,,
I.A,XMLW,ARCDL,,,
IHIA,PRGW,ARCDL,,,
IHIA,XMLW,ARCDL,,,
PRGW,ARCDL,SCL,,,
XMLW,PRGW,ARCDL,,,
XMLW,ARCDL,SCL,,,
BDDA,IHIA,I.A,,,
BDDA,I.A,PRGW,,,
BDDA,I.A,SCL,,,
BDDA,I.A,XMLW,,,
BDDA,IHIA,PRGW,,,
BDDA,IHIA,SCL,,,
BDDA,IHIA,XMLW,,,
BDDA,PRGW,SCL,,,
BDDA,XMLW,PRGW,,,
BDDA,XMLW,SCL,,,
MC,OWS,EW,,,
MC,TAM,EW,,,
MC,VA,EW,,,
MC,WS,EW,,,
TAM,EW,MMTS,,,
VA,EW,MMTS,,,
TAM,OWS,EW,,,
VA,OWS,EW,,,
WS,OWS,EW,,,
TAM,VA,EW,,,
WS,TAM,EW,,,
WS,VA,EW,,,
IHIA,I.A,PRGW,,,
IHIA,I.A,SCL,,,
IHIA,I.A,XMLW,,,
I.A,PRGW,SCL,,,
XMLW,I.A,PRGW,,,
I.A,XMLW,SCL,,,
IHIA,PRGW,SCL,,,
IHIA,XMLW,PRGW,,,
IHIA,XMLW,SCL,,,
MC,OWS,MMTS,,,
MC,TAM,MMTS,,,
MC,VA,MMTS,,,
MC,WS,MMTS,,,
MC,OWS,TAM,,,
MC,VA,OWS,,,
MC,WS,OWS,,,
MC,VA,TAM,,,
MC,WS,TAM,,,
MC,WS,VA,,,
OWS,TAM,MMTS,,,
VA,OWS,MMTS,,,
WS,OWS,MMTS,,,
VA,TAM,MMTS,,,
WS,TAM,MMTS,,,
WS,VA,MMTS,,,
VA,OWS,TAM,,,
WS,OWS,TAM,,,
VA,WS,OWS,,,
XMLW,PRGW,SCL,,,
WS,VA,TAM,,,
APC,TAM,OWS,EW,,
BDDA,IHIA,I.A,ARCDL,,
BDDA,I.A,PRGW,ARCDL,,
BDDA,I.A,ARCDL,SCL,,
BDDA,I.A,XMLW,ARCDL,,
BDDA,IHIA,PRGW,ARCDL,,
BDDA,IHIA,XMLW,ARCDL,,
BDDA,PRGW,ARCDL,SCL,,
BDDA,XMLW,PRGW,ARCDL,,
BDDA,XMLW,ARCDL,SCL,,
IHIA,I.A,PRGW,ARCDL,,
IHIA,I.A,XMLW,ARCDL,,
I.A,PRGW,ARCDL,SCL,,
XMLW,I.A,PRGW,ARCDL,,
I.A,XMLW,ARCDL,SCL,,
IHIA,XMLW,PRGW,ARCDL,,
XMLW,PRGW,ARCDL,SCL,,
BDDA,IHIA,I.A,PRGW,,
BDDA,IHIA,I.A,SCL,,
BDDA,IHIA,I.A,XMLW,,
BDDA,I.A,PRGW,SCL,,
XMLW,BDDA,I.A,PRGW,,
BDDA,I.A,XMLW,SCL,,
BDDA,IHIA,PRGW,SCL,,
BDDA,IHIA,XMLW,PRGW,,
BDDA,IHIA,XMLW,SCL,,
BDDA,XMLW,PRGW,SCL,,
MC,OWS,EW,MMTS,,
MC,TAM,EW,MMTS,,
MC,VA,EW,MMTS,,
MC,WS,EW,MMTS,,
MC,TAM,OWS,EW,,
MC,VA,OWS,EW,,
MC,WS,OWS,EW,,
MC,TAM,VA,EW,,
MC,WS,TAM,EW,,
MC,WS,VA,EW,,
TAM,OWS,EW,MMTS,,
VA,OWS,EW,MMTS,,
WS,OWS,EW,MMTS,,
TAM,VA,EW,MMTS,,
WS,TAM,EW,MMTS,,
WS,VA,EW,MMTS,,
VA,TAM,OWS,EW,,
WS,TAM,OWS,EW,,
VA,WS,OWS,EW,,
WS,TAM,VA,EW,,
IHIA,I.A,PRGW,SCL,,
XMLW,IHIA,I.A,PRGW,,
IHIA,I.A,XMLW,SCL,,
XMLW,I.A,PRGW,SCL,,
IHIA,XMLW,PRGW,SCL,,
MC,OWS,TAM,MMTS,,
MC,VA,OWS,MMTS,,
MC,WS,OWS,MMTS,,
MC,VA,TAM,MMTS,,
MC,WS,TAM,MMTS,,
MC,WS,VA,MMTS,,
MC,VA,OWS,TAM,,
MC,WS,OWS,TAM,,
MC,VA,WS,OWS,,
MC,WS,VA,TAM,,
VA,OWS,TAM,MMTS,,
WS,OWS,TAM,MMTS,,
VA,WS,OWS,MMTS,,
WS,VA,TAM,MMTS,,
VA,WS,OWS,TAM,,
IHIA,PRGW,BDDA,I.A,ARCDL,
IHIA,BDDA,XMLW,I.A,ARCDL,
PRGW,BDDA,I.A,ARCDL,SCL,
PRGW,BDDA,XMLW,I.A,ARCDL,
BDDA,XMLW,I.A,ARCDL,SCL,
IHIA,PRGW,BDDA,XMLW,ARCDL,
PRGW,BDDA,XMLW,ARCDL,SCL,
IHIA,PRGW,XMLW,I.A,ARCDL,
