MFO,RET,MOM,LIA,ELE,,
MFO,RET,SBC,LIA,ELE,,
MFO,SED,RET,LIA,ELE,,
RET,MOM,SBC,LIA,ELE,,
SED,RET,MOM,LIA,ELE,,
SED,MOM,SBC,LIA,ELE,,
SED,RET,SBC,LIA,ELE,,
MFO,RET,MOM,SBC,ELE,,
MFO,SED,RET,MOM,ELE,,
MFO,SED,RET,SBC,ELE,,
SED,RET,MOM,SBC,ELE,,
MFO,ORO,RET,MOM,LIA,,
MFO,ORO,MOM,SBC,LIA,,
MFO,ORO,SED,MOM,LIA,,
MFO,RET,MOM,SBC,LIA,,
MFO,SED,RET,MOM,LIA,,
MFO,SED,MOM,SBC,LIA,,
MFO,ORO,RET,SBC,LIA,,
MFO,ORO,SED,RET,LIA,,
MFO,SED,RET,SBC,LIA,,
ORO,RET,MOM,SBC,LIA,,
ORO,SED,RET,MOM,LIA,,
ORO,SED,MOM,SBC,LIA,,
SED,RET,MOM,SBC,LIA,,
ORO,SED,RET,SBC,LIA,,
MFO,ORO,RET,MOM,SBC,,
MFO,ORO,SED,RET,MOM,,
MFO,SED,RET,MOM,SBC,,
MFO,ORO,SED,RET,SBC,,
ORO,SED,RET,MOM,SBC,,
WEBS,BDA,RSF,ANGP,APRC,ARPS,
MFO,APN,RET,MOM,SBC,LIA,
MFO,SED,APN,RET,MOM,LIA,
MFO,SED,APN,MOM,SBC,LIA,
MFO,SED,APN,RET,SBC,LIA,
SED,APN,RET,MOM,SBC,LIA,
MFO,SED,APN,RET,MOM,SBC,
WEBS,BDA,DSE,RSF,APRC,ARPS,
WEBS,BDA,GEE,RSF,APRC,ARPS,
SED,RET,MOM,SBC,LIA,ELE,
MFO,ORO,RET,MOM,SBC,LIA,
MFO,ORO,SED,RET,MOM,LIA,
MFO,SED,RET,MOM,SBC,LIA,
ORO,SED,RET,MOM,SBC,LIA,
MFO,SED,APN,RET,MOM,SBC,LIA
