AN,ANG
AN,ARCH
AN,ITM
AN,L-M
AN,P-S
AN,SI
ARCH,ITM
ARCH,L-M
ARCH,P-S
ARCH,ANG
ITM,ANG
ITM,L-M
L-M,ANG
L-M,ARCH
L-M,ITM
L-M,P-S
L-M,SI
P-S,ANG
P-S,ITM
P-S,L-M
SI,ANG
SI,ARCH
SI,ITM
SI,L-M
SI,P-S
