GPI1,RECHB,,
GPI1,STR,,
MOORG,MADN,,
SPART,MADN,,
MOORG,RECB,,
MOORG,SMP,,
MOORG,SPART,,
PRCL,RECHB,,
STR,PRCL,,
RECB,SMP,,
STR,RECHB,,
GPI1,PRCL,RECHB,
GPI1,STR,PRCL,
GPI1,STR,RECHB,
MOORG,RECB,MADN,
SMP,MOORG,MADN,
MOORG,SPART,MADN,
SMP,RECB,MADN,
SMP,MOORG,RECB,
QSER,SRW,PARCL,
STR,PRCL,RECHB,
GPI1,STR,PRCL,RECHB
SMP,MOORG,RECB,MADN
RBIB,QSER,SRW,PARCL
