BDD,MFO,MOM,RET,LIA,SED,,,
BDD,MFO,MOM,RET,LIA,,,,
BDD,MFO,MOM,RET,SED,,,,
BDD,MFO,MOM,RET,,,,,
BDD,MFO,MOM,LIA,SED,,,,
BDD,MFO,MOM,LIA,,,,,
BDD,MFO,MOM,SED,,,,,
BDD,MFO,MOM,,,,,,
BDD,MFO,RET,LIA,SED,,,,
BDD,MFO,RET,LIA,,,,,
BDD,MFO,RET,SED,,,,,
BDD,MFO,RET,,,,,,
BDD,MFO,LIA,SED,,,,,
BDD,MFO,LIA,,,,,,
BDD,MFO,SED,,,,,,
BDD,MFO,,,,,,,
BDD,ORO,MOM,RET,SED,,,,
BDD,ORO,MOM,RET,,,,,
BDD,ORO,MOM,SED,,,,,
BDD,ORO,MOM,,,,,,
BDD,ORO,RET,SED,,,,,
BDD,ORO,RET,,,,,,
BDD,ORO,SED,,,,,,
BDD,ORO,,,,,,,
BDD,SBC,MOM,RET,LIA,,,,
BDD,SBC,MOM,RET,,,,,
BDD,SBC,MOM,LIA,,,,,
BDD,SBC,MOM,,,,,,
BDD,SBC,RET,LIA,,,,,
BDD,SBC,RET,,,,,,
BDD,SBC,LIA,,,,,,
BDD,SBC,,,,,,,
BDD,LIA,SED,MOM,RET,,,,
BDD,LIA,SED,MOM,,,,,
BDD,LIA,SED,RET,,,,,
BDD,LIA,SED,,,,,,
BDD,LIA,MOM,RET,,,,,
BDD,LIA,MOM,,,,,,
BDD,LIA,RET,,,,,,
BDD,LIA,,,,,,,
BDD,SED,MOM,RET,,,,,
BDD,SED,MOM,,,,,,
BDD,SED,RET,,,,,,
BDD,SED,,,,,,,
BDD,MOM,RET,,,,,,
BDD,MOM,,,,,,,
BDD,RET,,,,,,,
RLE,TCO,RSF,ARPS,BDA,APRC,WEBS,,
RLE,TCO,RSF,ARPS,BDA,APRC,,,
RLE,TCO,RSF,ARPS,BDA,WEBS,,,
RLE,TCO,RSF,ARPS,BDA,,,,
RLE,TCO,RSF,ARPS,APRC,WEBS,,,
RLE,TCO,RSF,ARPS,APRC,,,,
RLE,TCO,RSF,ARPS,WEBS,,,,
RLE,TCO,RSF,ARPS,,,,,
RLE,TCO,RSF,BDA,APRC,WEBS,,,
RLE,TCO,RSF,BDA,APRC,,,,
RLE,TCO,RSF,BDA,WEBS,,,,
RLE,TCO,RSF,BDA,,,,,
RLE,TCO,RSF,APRC,WEBS,,,,
RLE,TCO,RSF,APRC,,,,,
RLE,TCO,RSF,WEBS,,,,,
RLE,TCO,RSF,,,,,,
RLE,TCO,ARPS,BDA,APRC,WEBS,,,
RLE,TCO,ARPS,BDA,APRC,,,,
RLE,TCO,ARPS,BDA,WEBS,,,,
RLE,TCO,ARPS,BDA,,,,,
RLE,TCO,ARPS,APRC,WEBS,,,,
RLE,TCO,ARPS,APRC,,,,,
RLE,TCO,ARPS,WEBS,,,,,
RLE,TCO,ARPS,,,,,,
RLE,TCO,BDA,APRC,WEBS,,,,
RLE,TCO,BDA,APRC,,,,,
RLE,TCO,BDA,WEBS,,,,,
RLE,TCO,BDA,,,,,,
RLE,TCO,APRC,WEBS,,,,,
RLE,TCO,APRC,,,,,,
RLE,TCO,WEBS,,,,,,
RLE,TCO,,,,,,,
RLE,ANGP,APRC,RSF,DSE,ARPS,BDA,OROP,WEBS
RLE,ANGP,APRC,RSF,DSE,ARPS,BDA,OROP,
RLE,ANGP,APRC,RSF,DSE,ARPS,BDA,WEBS,
RLE,ANGP,APRC,RSF,DSE,ARPS,BDA,,
